time[h],s11,s11_err,s22,s22_err,s33,s33_err,s12,s12_err,s13,s13_err,s23,s23_err,p0,p0_err,ts,ts_err,tv,tv_err
1.0,0.12530252794344113,0.06913344556986822,0.0005527785107924722,0.01840817452413787,0.0075310841584693665,0.01891256635404149,0.0,0.0,0.0,0.0,0.0,0.0,0.01921860355764597,0.03995555791177979,-0.024552882924022437,0.2751678349423282,0.0043351560954379,0.07361769042612154
11.0,0.5163846204537307,0.08860844352321585,0.03544271979425577,0.031063627094143918,0.03695856901576814,0.03465230523146078,0.0,0.0,0.0,0.0,0.0,0.0,0.1306767476279373,0.04857451722536588,-0.01653563804437628,0.05755532277275049,0.01197725397784467,0.029600314326466058
21.0,0.615691854284333,0.09421740770547812,0.043605187087511356,0.0283885495939729,0.04632282044519945,0.02798675624815103,0.0,0.0,0.0,0.0,0.0,0.0,0.15443832514739275,0.05023057105971753,-0.010617108026394173,0.03786222968849263,0.008687747595274046,0.01932736649391263
31.0,0.6618933778305699,0.08626946045912998,0.04582167573497536,0.026591145466067653,0.04985187829419314,0.028643436607942246,0.0,0.0,0.0,0.0,0.0,0.0,0.16577706381513424,0.05737324724940812,-0.007682891219919618,0.026450719185312374,0.0063712244941336905,0.011806055654933329
41.0,0.6860062004242646,0.09141254624736354,0.04613435941241629,0.026695402077734576,0.0512909158666628,0.02808579035214253,0.0,0.0,0.0,0.0,0.0,0.0,0.17215657537201243,0.052547652887145524,-0.005632107090630495,0.01878017919106789,0.004759749301051563,0.011046808525262608
51.0,0.6993832982099774,0.09628108078598652,0.045824878751316925,0.0260451655143352,0.051880662568959186,0.024883916666304406,0.0,0.0,0.0,0.0,0.0,0.0,0.17595395531509866,0.05124669075090026,-0.004174507001200309,0.013708301715513932,0.0036158906529545694,0.008449958962482955
61.0,0.70716329227783,0.10330695184345748,0.045362702087081264,0.024561878843494426,0.052103835805184,0.02872905115976127,0.0,0.0,0.0,0.0,0.0,0.0,0.17828929906641985,0.046980483321948596,-0.003127270724146248,0.010974572986211174,0.0027902483249305113,0.0073760054054341564
71.0,0.7118781503556093,0.089782799308986,0.044917854003234274,0.02762280836281037,0.052166158546545285,0.02643158050302661,0.0,0.0,0.0,0.0,0.0,0.0,0.17976055303064528,0.04745807985568156,-0.0023637726551764145,0.007384062188752467,0.002182692092669361,0.005119477589234137
81.0,0.7148451402157222,0.09345490714502035,0.0445434796026759,0.02566378149214869,0.05215971736390283,0.02488736251328483,0.0,0.0,0.0,0.0,0.0,0.0,0.18070565429304392,0.05711508340560374,-0.00179925009575486,0.005622757234725062,0.001726136236020377,0.004198046943241004
91.0,0.716779182285299,0.08555278968853983,0.04424742814249291,0.02273822869175932,0.05212662848979795,0.03015229255515597,0.0,0.0,0.0,0.0,0.0,0.0,0.18132275158374495,0.04328660460614386,-0.0013769884873502565,0.005113944214317095,0.0013761013804431195,0.003402963746212945
101.0,0.7180823284937616,0.09912664467266567,0.04402134424668111,0.02483062126479798,0.052086085043026906,0.02739479769350825,0.0,0.0,0.0,0.0,0.0,0.0,0.18173136271918408,0.05112549572472278,-0.0010583127112188046,0.004283308680637624,0.0011030878850384256,0.0025737439479329967
111.0,0.7189878651350287,0.10018664147946293,0.04385249645268942,0.0222782320625392,0.052046509889864825,0.024911536442088288,0.0,0.0,0.0,0.0,0.0,0.0,0.1820052674378698,0.05050305523753907,-0.0008161911027623003,0.0029523583232529075,0.0008872668576432529,0.0019933399675996105
121.0,0.7196350795212262,0.09894756237670257,0.04372838320634928,0.025899402655696884,0.0520112282816626,0.024009488300687037,0.0,0.0,0.0,0.0,0.0,0.0,0.1821909019436436,0.0406868957012287,-0.0006312889723315768,0.002401232584444036,0.0007149876930389762,0.0014561282701406981
131.0,0.7201094183091904,0.09615251935110218,0.04363829613319392,0.024509775934000097,0.051981182902735415,0.027513132545406147,0.0,0.0,0.0,0.0,0.0,0.0,0.1823179756693122,0.052938839200167835,-0.0004895146057300129,0.001994738980809733,0.0005765641935489152,0.0012591714973059173
141.0,0.720464704259094,0.0935871416623221,0.04357362883939884,0.030598741129317975,0.05195625043919766,0.024400924595592274,0.0,0.0,0.0,0.0,0.0,0.0,0.18240576562218508,0.049135118151656595,-0.00038045010534502497,0.0015687158672434834,0.00046489816699705,0.0011228482100510513
151.0,0.7207357465815832,0.08983627581700603,0.0435277051905606,0.024274058239478962,0.05193587982178027,0.026007833148317023,0.0,0.0,0.0,0.0,0.0,0.0,0.18246693458898544,0.04311140359726866,-0.0002963125515648543,0.0011972774334356902,0.0003746283199092918,0.0007445028500583096
161.0,0.7209456628256765,0.08659950031671738,0.04349545929747635,0.026889957583516505,0.05191939609624286,0.027747010874220195,0.0,0.0,0.0,0.0,0.0,0.0,0.1825098927379806,0.05337388540920184,-0.00023124284688091925,0.0010148067407824207,0.0003016004148252051,0.0006185309193673775
171.0,0.7211102184492443,0.09081706767562861,0.043473104213400414,0.028750846774249907,0.051906138431230625,0.023350036329530904,0.0,0.0,0.0,0.0,0.0,0.0,0.18254028248738405,0.05214702533449481,-0.00018080495370975276,0.0008770020835714623,0.0002425313293686881,0.0005421089261814446
181.0,0.7212404488026096,0.0969004423571925,0.04345784003409054,0.023327650075387563,0.05189551629973508,0.028934398281490713,0.0,0.0,0.0,0.0,0.0,0.0,0.18256192525074724,0.04763809263542836,-0.00014162547386172288,0.0007305773337231888,0.00019478972481358478,0.0003920047855793858
191.0,0.7213442732746204,0.09427703064434198,0.043447614720060694,0.027786533487613962,0.05188702616197106,0.027008391437759686,0.0,0.0,0.0,0.0,0.0,0.0,0.18257743239624452,0.04570426718976519,-0.00011113000357216981,0.0005719518604974148,0.00015624725579801112,0.00035627478151759013
201.0,0.7214275079552882,0.09193545539461706,0.043440935711207766,0.025005940151474136,0.0518802499984982,0.024903830587190152,0.0,0.0,0.0,0.0,0.0,0.0,0.182588603733244,0.04775972380797215,-8.73480116546432e-05,0.00046549110978623713,0.0001251731663297395,0.0002834481939351136
211.0,0.7214945135724399,0.09946509422143665,0.0434367250637719,0.027481100642732285,0.05187484636244362,0.026604000332981246,0.0,0.0,0.0,0.0,0.0,0.0,0.18259668993972866,0.0473110260560115,-6.876721087825808e-05,0.0003580782695228338,0.00010015634399574238,0.00021551490873775078
221.0,0.7215486187998732,0.08697365093372865,0.04343420979301831,0.027479161581971945,0.05187053915401116,0.02869179112883728,0.0,0.0,0.0,0.0,0.0,0.0,0.1826025669490252,0.052340133710561336,-5.422419749200046e-05,0.0002813453756214556,8.004546718644275e-05,0.0001711220534687143
231.0,0.7215924030086729,0.09102560233187548,0.04343283977463483,0.027389560819531797,0.0518671065298342,0.025200684385403262,0.0,0.0,0.0,0.0,0.0,0.0,0.1826068528310071,0.0509240695736295,-4.282194376693552e-05,0.000248840577204146,6.390167151053545e-05,0.0001554965055677825
241.0,0.7216278895799614,0.09524392587595501,0.04343222678152999,0.026745253310620748,0.051864370951900676,0.0286341481036099,0.0,0.0,0.0,0.0,0.0,0.0,0.18260998678538531,0.04623216443143029,-3.3867320749677625e-05,0.00020822783579166175,5.096033370119843e-05,0.00010025923683104085
251.0,0.7216566812628183,0.09114852744981791,0.04343209950991671,0.022407097109069983,0.05186219068896418,0.02853224096889894,0.0,0.0,0.0,0.0,0.0,0.0,0.18261228296584292,0.04546935823292869,-2.6823643606617458e-05,0.0001456603798422416,4.059981167855286e-05,9.54952527128733e-05
261.0,0.7216800572255387,0.09456154855908493,0.04343227058530295,0.0277894416406436,0.051860452760393465,0.026328271859157416,0.0,0.0,0.0,0.0,0.0,0.0,0.18261396744995817,0.052872864238179905,-2.1274530745788495e-05,0.00013371260168690237,3.23156912204109e-05,6.878853489992048e-05
271.0,0.7216990442364146,0.08527399023722039,0.04343261247973009,0.02317616451887169,0.05185906717680822,0.024783514009197153,0.0,0.0,0.0,0.0,0.0,0.0,0.18261520383369093,0.04570378487223551,-1.68963119338479e-05,9.818226920821406e-05,2.5699505552857853e-05,6.144178859818587e-05
281.0,0.7217144699690585,0.08262770919162593,0.04343304001966933,0.026298887392578938,0.05185796228881479,0.027394776398948755,0.0,0.0,0.0,0.0,0.0,0.0,0.18261611108795933,0.052999859926189115,-1.3436914482951002e-05,8.289724272501756e-05,2.0421146153111064e-05,4.79611688735749e-05
291.0,0.7217270036626489,0.09629157866404264,0.04343349774465759,0.02371953713293216,0.05185708105554785,0.030485092278181934,0.0,0.0,0.0,0.0,0.0,0.0,0.182616776110529,0.04973189343818898,-1.0699670601902581e-05,7.022785277894151e-05,1.621434479927675e-05,4.0237966070690426e-05
301.0,0.7217371876262769,0.087659715745922,0.04343395082048104,0.02586228409285174,0.05185637806345982,0.026227239169396042,0.0,0.0,0.0,0.0,0.0,0.0,0.18261726261307132,0.04571660432049934,-8.530871948888379e-06,5.71502210353665e-05,1.2864718690643248e-05,3.3802998722412685e-05
311.0,0.7217454619655078,0.0794375560572129,0.043434378546186855,0.026230004387382932,0.05185581715044027,0.021477183976709842,0.0,0.0,0.0,0.0,0.0,0.0,0.18261761745690072,0.04604172414697211,-6.8101838997438175e-06,4.9905805015377205e-05,1.0199953887406014e-05,2.3722412729543102e-05
321.0,0.7217521841895321,0.09008330990872823,0.04343476974589578,0.027620267919227472,0.051855369515037004,0.02911559304257568,0.0,0.0,0.0,0.0,0.0,0.0,0.18261787519923106,0.05191897615711214,-5.443247044710387e-06,3.587181145849722e-05,8.08176871873355e-06,2.2987857440786476e-05
